Node,Time_bin,Avg_speed,Avg_speed_CI,Max_speed,Min_speed,Travel_time,Travel_time_CI,Flow,Boxplot_speed,Boxplot_time,Count
65287336,2,9.0,"(5.67, 11.76)",28.0,0.0,0.2833333333333333,"(-0.09, 0.66)","{'(65287336, 65287332, 0)': 2, '(4022947857, 65287336, 0)': 3, '(65287332, 65287336, 0)': 1}","{'whislo': 0, 'q1': 0.0, 'med': 6.0, 'q3': 17.0, 'whishi': 28, 'fliers': []}","{'whislo': 0.05, 'q1': 0.079175, 'med': 0.18335, 'q3': 0.224975, 'whishi': 1.0, 'fliers': [1.0]}",35
65287347,-1,,,,,,,{},{'points': []},{'points': []},0
65287347,1,,,,,,,{},{'points': []},{'points': []},0
65287347,0,18.0,"(-39.68, 74.68)",22.0,12.0,0.1,,"{'(4022947860, 65287347, 0)': 1}","{'points': [22, 13]}",{'points': [0.1]},2
65287347,2,24.0,"(20.74, 27.37)",38.0,8.0,0.15,,"{'(65287347, 4022947860, 0)': 1}","{'whislo': 10, 'q1': 22.0, 'med': 24.0, 'q3': 26.0, 'whishi': 38, 'fliers': [37, 10, 38]}",{'points': [0.15]},17
65287349,-1,,,,,,,{},{'points': []},{'points': []},0
65287349,1,,,,,,,{},{'points': []},{'points': []},0
65287349,0,26.0,,26.0,26.0,,,{},{'points': [26]},{'points': []},1
65287349,2,23.0,"(19.85, 26.03)",34.0,9.0,0.14443333333333333,"(-0.26, 0.55)","{'(65287347, 65287349, 0)': 2, '(65287349, 4022941220, 0)': 1}","{'whislo': 9, 'q1': 19.0, 'med': 24.0, 'q3': 27.0, 'whishi': 34, 'fliers': []}","{'points': [0.0333, 0.0667, 0.3333]}",17
65287356,-1,30.0,"(11.44, 49.56)",32.0,29.0,,,{},"{'points': [32, 29]}",{'points': []},2
65287356,1,29.0,,29.0,29.0,,,{},{'points': [29]},{'points': []},1
65287356,0,27.0,"(20.74, 32.76)",30.0,23.0,0.1667,,"{'(65287356, 4022941223, 0)': 1}","{'whislo': 23, 'q1': 23.75, 'med': 27.0, 'q3': 30.0, 'whishi': 30, 'fliers': []}",{'points': [0.1667]},4
65287356,2,25.0,"(22.9, 26.6)",32.0,12.0,0.22999999999999998,"(0.2, 0.26)","{'(4022941223, 65287356, 0)': 4, '(65287356, 4022941218, 0)': 1}","{'whislo': 12, 'q1': 22.75, 'med': 25.0, 'q3': 28.0, 'whishi': 32, 'fliers': [12, 14]}","{'whislo': 0.2, 'q1': 0.2167, 'med': 0.2333, 'q3': 0.2333, 'whishi': 0.2667, 'fliers': [0.2667]}",28
